year,county,pct_fair_poor_health,pct_smokers,pct_obesity,food_env_index,pct_excess_drinking,pct_uninsured,prim_care_phys_rate,mental_health_prov_rate,preventable_rate,pct_children_poverty,avg_daily_pm25,pct_severe_hous_prob,severe_hous_cost_burden,pct_overcrowding,pct_freq_ment_distress,pct_freq_phys_distress,pct_diabetes,pct_food_insecure,pct_limit_access_health_food,pct_drug_overdose_mortality,median_hh_income,pct_hs_complete,pct_some_college,pct_unemployed,pct_single_parent_hous,pct_under18,pct_over65,pct_nh_black,pct_ai_an,pct_asian,pct_nh_opi,pct_hispanic,pct_nh_white,pct_female,pct_rural
2021,San Benito,20,13,36,9.1,20,8,29,113,3349.0,14,4.3,22,15,8,13,13,10,8,3,14.0,84209,80.0,56,5.0,21,25.5,13.1,1.0,3.1,3.9,0.4,60.8,32.8,49.9,24.0
2021,San Bernardino,24,15,31,8.0,19,9,59,243,4170.0,19,14.8,26,19,9,14,15,10,11,8,11.0,67398,80.0,56,3.8,26,26.1,11.9,8.1,2.1,8.0,0.5,54.4,27.3,50.2,4.7
2021,San Diego,16,13,20,8.6,21,9,80,399,2974.0,13,8.7,25,20,7,12,12,8,10,3,14.0,83576,87.0,73,3.2,21,21.4,14.5,4.7,1.3,12.6,0.6,34.1,45.0,49.7,3.3
2021,San Francisco,13,11,17,8.8,25,5,159,923,2921.0,9,7.6,24,17,6,10,9,6,10,0,31.0,121795,88.0,88,2.2,21,13.4,16.1,5.0,0.7,36.0,0.5,15.2,40.2,49.0,0.0
2021,San Joaquin,22,15,36,7.9,18,8,60,248,3599.0,18,14.1,24,18,7,14,14,10,12,5,17.0,68458,79.0,51,5.9,23,26.8,13.1,7.1,2.0,17.4,0.8,42.0,30.5,50.1,8.5
2021,San Luis Obispo,15,14,29,8.6,24,7,82,631,2170.0,11,8.2,22,19,3,13,12,9,9,4,16.0,76599,91.0,70,2.9,18,17.5,20.9,1.7,1.4,4.0,0.2,22.9,68.5,49.4,16.6
2021,San Mateo,13,10,23,9.4,21,5,105,392,1880.0,6,8.3,23,17,8,10,10,8,7,1,11.0,135234,90.0,79,2.0,16,20.2,16.6,2.3,0.9,30.6,1.5,24.0,38.7,50.5,1.9
2021,Santa Barbara,19,13,24,8.7,20,11,75,551,1991.0,13,7.1,29,20,10,13,13,8,10,3,16.0,74530,81.0,60,3.7,23,22.1,15.7,1.8,2.1,6.0,0.3,46.0,43.8,50.0,5.0
2021,Santa Clara,14,10,20,9.3,17,5,104,365,2829.0,6,9.1,23,16,8,10,10,9,7,1,9.0,132444,88.0,79,2.5,16,21.6,13.9,2.4,1.2,39.0,0.5,25.0,30.6,49.3,1.1
2021,Santa Cruz,16,13,19,8.4,22,7,101,804,2490.0,10,5.3,27,22,7,13,12,6,10,4,17.0,85770,86.0,68,4.7,21,19.0,17.3,1.0,1.8,5.3,0.2,34.0,56.8,50.5,12.0
